M,efConstruction,efSearch,recall@1,build_time,search_time,memory_usage
2,2,2,95,10,0.025483342,547995894
2,2,4,95,10,0.018717716,547995894
2,2,8,95,10,0.018661217,547995894
2,2,16,95,10,0.020010633,547995894
2,2,32,95,10,0.018890696,547995894
2,4,2,97,71.64604114,0.024586234,547995894
2,4,4,97,71.64604114,0.01912398,547995894
2,4,8,97,71.64604114,0.018346441,547995894
2,4,16,97,71.64604114,0.019169167,547995894
2,4,32,97,71.64604114,0.018455523,547995894
2,8,2,93,70.16493846,0.022012835,547995894
2,8,4,93,70.16493846,0.018845844,547995894
2,8,8,93,70.16493846,0.017666051,547995894
2,8,16,93,70.16493846,0.021502747,547995894
2,8,32,93,70.16493846,0.017930635,547995894
2,16,2,105,71.02206323,0.022344718,547995894
2,16,4,105,71.02206323,0.01865125,547995894
2,16,8,105,71.02206323,0.017563185,547995894
2,16,16,105,71.02206323,0.018616755,547995894
2,16,32,105,71.02206323,0.017682147,547995894
2,32,2,98,70.90912783,0.02177376,547995894
2,32,4,98,70.90912783,0.0191473,547995894
2,32,8,98,70.90912783,0.017633959,547995894
2,32,16,98,70.90912783,0.018702732,547995894
2,32,32,98,70.90912783,0.016985239,547995894
4,2,2,365,122.418813,0.038445119,561329742
4,2,4,365,122.418813,0.037719679,561329742
4,2,8,365,122.418813,0.032306997,561329742
4,2,16,365,122.418813,0.033264942,561329742
4,2,32,365,122.418813,0.0323639,561329742
4,4,2,366,121.3639978,0.060424543,561329742
4,4,4,366,121.3639978,0.046589318,561329742
4,4,8,366,121.3639978,0.032358767,561329742
4,4,16,366,121.3639978,0.033565935,561329742
4,4,32,366,121.3639978,0.030933449,561329742
4,8,2,365,121.1938657,0.042327605,561329742
4,8,4,365,121.1938657,0.037364496,561329742
4,8,8,365,121.1938657,0.036430432,561329742
4,8,16,365,121.1938657,0.033925841,561329742
4,8,32,365,121.1938657,0.033512503,561329742
4,16,2,350,122.9890338,0.03800206,561329742
4,16,4,350,122.9890338,0.033072748,561329742
4,16,8,350,122.9890338,0.032597128,561329742
4,16,16,350,122.9890338,0.03503428,561329742
4,16,32,350,122.9890338,0.034954604,561329742
4,32,2,349,122.2623161,0.040289357,561329742
4,32,4,349,122.2623161,0.037283856,561329742
4,32,8,349,122.2623161,0.032673047,561329742
4,32,16,349,122.2623161,0.034658375,561329742
4,32,32,349,122.2623161,0.032635913,561329742
8,2,2,603,176.6952005,0.061552851,592566706
8,2,4,603,176.6952005,0.055491381,592566706
8,2,8,603,176.6952005,0.053766143,592566706
8,2,16,603,176.6952005,0.051774248,592566706
8,2,32,603,176.6952005,0.055450781,592566706
8,4,2,608,180.1416017,0.062440399,592566706
8,4,4,608,180.1416017,0.074856995,592566706
8,4,8,608,180.1416017,0.057621877,592566706
8,4,16,608,180.1416017,0.056024049,592566706
